artist,track,year,decade,duration,tempo,energy,danceability,key,genre
MC Hammer,"U Can't Touch This",1990,1990s,253.4431,133.16,0.9069,0.787,B,"Electronic,Hip Hop,Rock,Funk / Soul,Pop,Children's,Stage & Screen"
Jimmy Boyd,I Saw Mommy Kissing Santa Claus,1952,1950s,152.2166,115.413,0.2178,0.4746,Bb,"Children's"
The Righteous Brothers,Unchained Melody,1965,1960s,213.9867,99.78,0.4882,0.4184,C,"Rock,Pop"
Eddie Fisher,I Need You Now,1954,1950s,153.2,117.203,0.2365,0.4822,C,Pop
Terry Jacks,Seasons in the Sun,1974,1970s,209.9067,97.363,0.5033,0.6974,F#,"Rock,Pop"
The Beatles,"Can't Buy Me Love",1964,1960s,131.6571,84.768,0.4149,0.589,C,"Rock,Pop"
Bobby Darin,Dream Lover,1959,1950s,71.68,135.104,0.491,0.5751,C#,Rock
Dean Martin,Memories Are Made of This,1956,1950s,143.0022,64.486,0.5299,0.6597,E,"Jazz,Pop,Folk, World, & Country"
Madonna,Take a Bow,1995,1990s,321.36,79.98,0.3665,0.5677,Ab,"Electronic,Pop"
Queen,Crazy Little Thing Called Love,1980,1980s,162.8267,77.064,0.7148,0.5982,G,Rock
Haddaway,What is Love?,1993,1990s,189.9333,123.89,0.6899,0.706,G,Electronic
Amy Winehouse,Rehab,2007,2000s,207.0395,75.733,0.4697,0.5513,C,"Electronic,Funk / Soul"
Carly Simon,"You're So Vain",1973,1970s,288.8098,105.439,0.4762,0.5196,Ab,"Rock,Blues,Pop"
The Beatles,"A Hard Day's Night",1964,1960s,146.8079,140.46,0.4691,0.4444,F,"Rock,Pop"
Shaggy,Boombastic,1995,1990s,247.1733,158.412,0.7884,0.8661,D,"Electronic,Hip Hop,Reggae,Pop"
The Rolling Stones,Brown Sugar,1971,1970s,228.6667,128.607,0.9312,0.634,C,Rock
Al Hibbler,Unchained Melody,1955,1950s,86.91,116.767,0.2683,0.3175,Bb,Pop
Jo Stafford,You Belong to Me,1952,1950s,92.86,141.189,0.2878,0.3494,D,"Jazz,Pop"
Rocco Granata,Marina,1960,1960s,167.5467,101.632,0.5217,0.6575,A,"Rock,Pop"
Elvis Presley,Return to Sender,1962,1960s,120,135.911,0.5469,0.8269,E,Rock
Led Zeppelin,Whole Lotta Love,1970,1970s,334.5552,87.979,0.8928,0.4012,A,Rock
Patrick Hernandez,Born to Be Alive,1979,1970s,197.5196,131.665,0.7789,0.7291,D,Electronic
The Moody Blues,Nights in White Satin,1972,1970s,316.0667,148.504,0.5208,0.2071,E,"Rock,Pop"
Mariah Carey,Without You,1994,1990s,254.328,121.515,0.4851,0.45,F#,"Funk / Soul,Pop"
Chic,Le Freak,1979,1970s,229.2267,118.402,0.7551,0.8875,G,Funk / Soul
Enigma,Return to Innocence,1994,1990s,294.3356,87.844,0.3903,0.2095,Bb,Electronic
Captain & Tennille,Love Will Keep Us Together,1975,1970s,204.92,129.926,0.5752,0.6639,E,Pop
The Beatles,Strawberry Fields Forever,1967,1960s,248.9329,97.535,0.4926,0.3889,Bb,Rock
Barry Ryan,Eloise,1968,1960s,344.8933,131.12,0.6698,0.4134,C,Rock
Rihanna,Disturbia,2008,2000s,227.1604,128.789,0.4887,0.6875,B,"Hip Hop,Funk / Soul,Pop"
Soft Cell,Tainted Love,1981,1980s,156.7067,143.21,0.4915,0.5278,C,"Electronic,Pop"
Janet Jackson,Together Again,1998,1990s,266.4635,122.957,0.5637,0.8501,C,"Electronic,Hip Hop,Funk / Soul,Pop"
Musical Youth,Pass the Dutchie,1982,1980s,59.6662,75.23,0.7863,0.6427,C,Reggae
Vera Lynn,"Auf Wiederseh'n Sweetheart",1952,1950s,157.2667,109.638,0.2771,0.3967,Ab,"Jazz,Pop"
